No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan,Industry
1,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan,Transportation & Logistic
2,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.691.137.517,Utama,Transportation & Logistic
3,BIRD,Blue Bird Tbk.,05 Nov 2014,2.502.100.000,Utama,Transportation & Logistic
4,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,25.940.187.103,Pemantauan Khusus,Transportation & Logistic
5,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,10.685.124.441,Pemantauan Khusus,Transportation & Logistic
6,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,91.480.783.837,Pemantauan Khusus,Transportation & Logistic
7,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,8.654.325.000,Pengembangan,Transportation & Logistic
8,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan,Transportation & Logistic
9,MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,Pemantauan Khusus,Transportation & Logistic
10,MITI,Mitra Investindo Tbk.,16 Jul 1997,3.540.735.503,Pengembangan,Transportation & Logistic
11,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan,Transportation & Logistic
12,SAFE,Steady Safe Tbk,15 Agt 1994,615.145.012,Pengembangan,Transportation & Logistic
13,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,1.135.225.000,Pemantauan Khusus,Transportation & Logistic
14,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,16.375.600.000,Utama,Transportation & Logistic
15,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,10.223.647.156,Pemantauan Khusus,Transportation & Logistic
16,TMAS,Temas Tbk.,09 Jul 2003,57.051.500.000,Utama,Transportation & Logistic
17,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,1.460.554.819,Pengembangan,Transportation & Logistic
18,HELI,Jaya Trishindo Tbk.,27 Mar 2018,832.862.387,Pengembangan,Transportation & Logistic
19,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,Pengembangan,Transportation & Logistic
20,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,Pengembangan,Transportation & Logistic
21,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,3.534.000.000,Pengembangan,Transportation & Logistic
22,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,Pengembangan,Transportation & Logistic
23,DEAL,Dewata Freightinternational Tb,11 Nov 2018,1.146.170.959,Pemantauan Khusus,Transportation & Logistic
